Software Version: bsiPRRinterface version 2.1.20, Measured Parameters recorded in: Calibrated Units, Ignoring data after range change in averages
Label,Ed0Gnd,Ed0305,Ed0313,Ed0320,Ed0340,Ed0380,Ed0395,Ed0PAR,Ed0Temp,Ed0Vin, # averaged, UVINDEX, , , 
ChannelType,0,2,4,6,8,9,10,18,22,27
Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Units,V,µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µE/(cm²sec),°C,V
Equation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Comment,Lamp V-032(3/3/15),solar calibration completed 2/26/16,solar calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,n/a,n/a
02/06/2020 00:00:22,4.234146E-05,2.324061E-03,-2.631054E-05,6.702813E-04,-2.851222E-05,6.369269E-05,3.186022E-04,2.232814E-07,37.61615,18.18041, 175
02/06/2020 00:00:42,0.0000422,2.327987E-03,-3.136001E-05,6.698422E-04,-3.228607E-05,4.099069E-05,3.168352E-04,2.233733E-07,37.70036,18.18045, 175
02/06/2020 00:01:02,0.0000419,2.332312E-03,-2.431104E-05,6.70494E-04,-3.224576E-05,6.139627E-05,3.200811E-04,2.236839E-07,37.69976,18.18049, 175
02/06/2020 00:01:22,0.0000431,2.329546E-03,-2.937184E-05,6.747502E-04,-3.182257E-05,6.575474E-05,3.176467E-04,2.238272E-07,37.67481,18.18045, 175
02/06/2020 00:01:42,0.0000435,2.315818E-03,-2.774515E-05,6.638413E-04,-2.678455E-05,4.960858E-05,3.180362E-04,2.239218E-07,37.66441,18.18042, 175
02/06/2020 00:02:02,0.0000443,2.320696E-03,-1.906949E-05,6.618091E-04,-2.833626E-05,5.3868E-05,3.174033E-04,2.237967E-07,37.6575,18.18033, 175
02/06/2020 00:02:22,4.455E-05,2.316321E-03,-2.012813E-05,6.680784E-04,-3.222561E-05,6.208967E-05,3.220286E-04,2.235448E-07,37.65206,18.18037, 175
02/06/2020 00:02:42,4.415E-05,2.320947E-03,-2.061872E-05,6.587032E-04,-2.902143E-05,3.034215E-05,3.169651E-04,2.233021E-07,37.65226,18.18024, 175
02/06/2020 00:03:02,4.335E-05,2.305358E-03,-2.769351E-05,6.651258E-04,-3.131877E-05,5.857317E-05,3.186691E-04,2.227931E-07,37.65364,18.18031, 175
02/06/2020 00:03:22,0.000043,2.326932E-03,-2.906199E-05,6.625952E-04,-3.07142E-05,5.763214E-05,3.174519E-04,2.215808E-07,37.65187,18.18042, 175
02/06/2020 00:03:42,0.000043,2.318332E-03,-2.764187E-05,6.665446E-04,-2.934386E-05,5.768166E-05,3.135894E-04,2.211638E-07,37.65036,18.18031, 175
02/06/2020 00:04:02,4.385E-05,2.31793E-03,-2.67898E-05,6.717211E-04,-2.821534E-05,7.268868E-05,3.164944E-04,2.219471E-07,37.64444,18.18039, 175
02/06/2020 00:04:22,4.365E-05,2.322908E-03,-2.477581E-05,6.66698E-04,-2.934386E-05,6.501182E-05,3.155044E-04,2.222505E-07,37.64239,18.18037, 175
02/06/2020 00:04:42,4.325E-05,2.320696E-03,-2.482744E-05,6.628635E-04,-3.321306E-05,6.996463E-05,3.172734E-04,2.219555E-07,37.64268,18.1803, 175
02/06/2020 00:05:02,0.0000429,2.314661E-03,-2.513729E-05,6.638797E-04,-2.748987E-05,6.278306E-05,3.184095E-04,2.217232E-07,37.63599,18.18031, 175
02/06/2020 00:05:22,0.0000426,2.311745E-03,-2.314912E-05,6.652601E-04,-3.571192E-05,6.580428E-05,3.181011E-04,2.20911E-07,37.63076,18.18036, 175
02/06/2020 00:05:42,0.0000423,2.311443E-03,-3.280595E-05,6.626718E-04,-2.513207E-05,6.025713E-05,3.148715E-04,2.201118E-07,37.63704,18.18033, 175
02/06/2020 00:06:02,4.225E-05,2.316824E-03,-2.322658E-05,6.65586E-04,-3.162105E-05,5.594818E-05,3.170137E-04,2.206267E-07,37.62989,18.18033, 175
02/06/2020 00:06:22,0.000043,2.322456E-03,-2.774515E-05,6.642439E-04,-2.72682E-05,6.867691E-05,3.159101E-04,2.216935E-07,37.6273,18.18028, 175
02/06/2020 00:06:42,4.275E-05,2.308476E-03,-3.012063E-05,6.624418E-04,-2.783246E-05,5.357083E-05,3.170949E-04,2.222845E-07,37.62394,18.18036, 175
02/06/2020 00:07:02,4.225E-05,2.308476E-03,-3.342564E-05,6.613873E-04,-2.888036E-05,6.644814E-05,3.117555E-04,2.225127E-07,37.62093,18.18031, 175
02/06/2020 00:07:22,4.305E-05,2.304151E-03,-2.694472E-05,6.623459E-04,-2.563588E-05,7.764149E-05,3.125669E-04,2.224243E-07,37.6153,18.18033, 175
02/06/2020 00:07:42,0.0000423,2.302995E-03,-3.128255E-05,6.624993E-04,-2.513207E-05,6.803304E-05,3.142872E-04,2.230186E-07,37.61053,18.18034, 175
02/06/2020 00:08:02,0.0000426,2.310186E-03,-3.265103E-05,6.590675E-04,-2.930356E-05,7.774055E-05,3.124696E-04,2.233288E-07,37.60862,18.18034, 175
02/06/2020 00:08:22,0.0000434,2.318986E-03,-2.751277E-05,6.579747E-04,-2.918264E-05,7.630423E-05,3.130538E-04,2.232881E-07,37.60386,18.18031, 175
02/06/2020 00:08:42,4.405E-05,2.307873E-03,-2.939766E-05,6.553289E-04,-2.97469E-05,6.570522E-05,3.13281E-04,2.232722E-07,37.59512,18.18024, 175
02/06/2020 00:09:02,0.000044,2.314309E-03,-2.815828E-05,6.591825E-04,-3.401915E-05,6.951888E-05,3.117717E-04,2.238088E-07,37.59312,18.18033, 175
02/06/2020 00:09:22,4.355E-05,2.31793E-03,-2.782261E-05,6.579938E-04,-3.335413E-05,6.714153E-05,3.132973E-04,2.237368E-07,37.59032,18.18027, 175
02/06/2020 00:09:42,0.0000441,2.317779E-03,-2.782261E-05,6.555973E-04,-2.531344E-05,8.165327E-05,3.109765E-04,2.240507E-07,37.58522,18.18037, 175
02/06/2020 00:10:02,4.475E-05,2.311644E-03,-3.394205E-05,6.570161E-04,-2.87393E-05,6.669578E-05,3.099865E-04,2.23888E-07,37.56866,18.18031, 175
02/06/2020 00:10:22,0.0000449,2.315265E-03,-3.161822E-05,6.584348E-04,-2.92834E-05,6.550711E-05,3.072438E-04,2.235696E-07,37.56256,18.18034, 175
02/06/2020 00:10:42,0.0000447,2.310538E-03,-2.570534E-05,6.569202E-04,-2.648226E-05,5.683969E-05,3.061726E-04,2.234763E-07,37.55161,18.1803, 175
02/06/2020 00:11:02,4.435E-05,2.297312E-03,-2.784843E-05,6.56901E-04,-2.511192E-05,7.635376E-05,3.110738E-04,2.238464E-07,37.50471,18.18028, 175
02/06/2020 00:11:22,0.0000434,2.290473E-03,-3.117927E-05,6.503058E-04,-2.900128E-05,6.208967E-05,3.052476E-04,2.238805E-07,37.65063,18.18031, 175
02/06/2020 00:11:42,0.0000431,2.296608E-03,-2.508565E-05,6.614832E-04,-3.051268E-05,5.679016E-05,3.09029E-04,2.234909E-07,37.60419,18.18042, 175
02/06/2020 00:12:02,4.355E-05,2.294446E-03,-2.59119E-05,6.673306E-04,-2.746972E-05,7.308491E-05,3.094834E-04,2.224418E-07,37.58182,18.18033, 175
02/06/2020 00:12:23,4.355E-05,2.290373E-03,-2.658323E-05,6.600452E-04,-2.742941E-05,6.610144E-05,3.104409E-04,2.222481E-07,37.57397,18.1803, 175
02/06/2020 00:12:42,4.41579E-05,2.302899E-03,-2.858499E-05,6.520434E-04,-2.778685E-05,7.599143E-05,3.064451E-04,2.219642E-07,37.56021,18.18025, 175
02/06/2020 00:13:02,4.405E-05,2.291932E-03,-2.516311E-05,6.496348E-04,-2.511192E-05,6.511088E-05,3.100676E-04,2.222728E-07,37.55455,18.18028, 175
02/06/2020 00:13:22,4.375E-05,2.282829E-03,-2.81841E-05,6.498265E-04,-3.006934E-05,7.154953E-05,3.086881E-04,2.226193E-07,37.54491,18.18027, 175
02/06/2020 00:13:42,0.0000427,2.299525E-03,-2.508565E-05,6.653942E-04,-3.035147E-05,7.249057E-05,3.116581E-04,2.229364E-07,37.54621,18.18027, 175
02/06/2020 00:14:02,4.215E-05,2.292133E-03,-3.086942E-05,6.523381E-04,-2.793321E-05,5.198593E-05,3.044036E-04,2.231126E-07,37.55164,18.18025, 175
02/06/2020 00:14:22,0.000042,2.287355E-03,-3.259939E-05,6.587799E-04,-3.182257E-05,6.025713E-05,3.092075E-04,2.231701E-07,37.53014,18.18027, 175
02/06/2020 00:14:42,4.185E-05,2.285646E-03,-3.177314E-05,6.590866E-04,-3.700165E-05,6.476419E-05,3.079741E-04,2.23322E-07,37.53637,18.18025, 175
02/06/2020 00:15:02,0.000042,2.26895E-03,-3.28576E-05,6.531241E-04,-3.720318E-05,5.971232E-05,3.027969E-04,2.231345E-07,37.54134,18.18027, 175
02/06/2020 00:15:22,4.215E-05,2.277801E-03,-2.820992E-05,6.459346E-04,-3.303169E-05,5.57996E-05,3.035922E-04,2.227915E-07,37.53315,18.18027, 175
02/06/2020 00:15:42,4.205E-05,2.274331E-03,-3.08436E-05,6.53565E-04,-2.825565E-05,5.297649E-05,3.081363E-04,2.2296E-07,37.52847,18.18024, 175
02/06/2020 00:16:02,4.255E-05,2.277046E-03,-3.09727E-05,6.524723E-04,-3.508721E-05,4.455672E-05,3.079416E-04,2.229651E-07,37.52828,18.1803, 175
02/06/2020 00:16:22,4.225E-05,2.271917E-03,-2.952676E-05,6.499799E-04,-3.420052E-05,6.550711E-05,3.056857E-04,2.232811E-07,37.52361,18.18025, 175
02/06/2020 00:16:42,0.0000422,2.287707E-03,-2.513729E-05,6.536609E-04,-2.672409E-05,3.950485E-05,3.104247E-04,2.2323E-07,37.51517,18.18027, 175
02/06/2020 00:17:02,0.0000423,2.278806E-03,-2.441432E-05,6.44305E-04,-2.615983E-05,5.045056E-05,3.121774E-04,2.229165E-07,37.51112,18.18027, 175
02/06/2020 00:17:22,0.000042,2.283835E-03,-3.086942E-05,6.520696E-04,-2.926325E-05,5.22831E-05,3.135407E-04,2.228501E-07,37.50624,18.18028, 175
02/06/2020 00:17:42,4.305E-05,2.284036E-03,-2.774515E-05,6.408732E-04,-2.791306E-05,5.659205E-05,3.131836E-04,2.223131E-07,37.49762,18.18025, 175
02/06/2020 00:18:02,0.0000432,2.28469E-03,-3.283177E-05,6.527599E-04,-3.559101E-05,5.500715E-05,3.144658E-04,2.232231E-07,37.49426,18.18027, 175
02/06/2020 00:18:22,4.205E-05,2.27242E-03,-3.946762E-05,6.604479E-04,-2.72682E-05,7.070756E-05,3.12713E-04,2.233003E-07,37.48642,18.18033, 175
02/06/2020 00:18:42,0.0000419,2.27418E-03,-2.91911E-05,6.556932E-04,-3.208455E-05,6.075241E-05,3.079578E-04,2.233125E-07,37.48468,18.18024, 175
02/06/2020 00:19:02,4.215E-05,2.261508E-03,-2.702218E-05,6.482736E-04,-3.544994E-05,6.525947E-05,3.082987E-04,2.233156E-07,37.48235,18.18028, 175
02/06/2020 00:19:22,4.295E-05,2.27076E-03,-3.066286E-05,6.496923E-04,-3.26488E-05,5.73845E-05,3.102137E-04,2.235813E-07,37.48236,18.18025, 175
02/06/2020 00:19:42,4.265E-05,2.263972E-03,-3.074032E-05,6.386875E-04,-2.942447E-05,5.525479E-05,3.068867E-04,2.235353E-07,37.47845,18.1803, 175
02/06/2020 00:20:02,0.0000436,2.274532E-03,-3.747945E-05,6.417742E-04,-3.2145E-05,7.358019E-05,3.071788E-04,2.233978E-07,37.47483,18.18027, 175
02/06/2020 00:20:22,4.415E-05,2.270408E-03,-3.296088E-05,6.413716E-04,-3.26488E-05,7.932544E-05,3.080227E-04,2.233571E-07,37.4732,18.18025, 175
02/06/2020 00:20:42,4.415E-05,2.276041E-03,-2.839066E-05,6.367128E-04,-2.888036E-05,6.119816E-05,3.025373E-04,2.229492E-07,37.47149,18.18025, 175
02/06/2020 00:21:02,0.0000433,2.267693E-03,-2.340732E-05,6.426562E-04,-3.045223E-05,6.738917E-05,3.012227E-04,2.225419E-07,37.48341,18.18024, 175
02/06/2020 00:21:22,0.0000442,2.259949E-03,-2.57828E-05,6.481969E-04,-2.922295E-05,8.036553E-05,3.013038E-04,2.220378E-07,37.47878,18.18031, 175
02/06/2020 00:21:42,4.375E-05,2.260703E-03,-3.327072E-05,6.503825E-04,-3.532903E-05,5.119348E-05,3.052638E-04,2.220953E-07,37.47363,18.18024, 175
02/06/2020 00:22:02,4.405E-05,2.270459E-03,-2.993989E-05,6.476793E-04,-2.628074E-05,5.411564E-05,3.048418E-04,2.203543E-07,37.48203,18.18027, 175
02/06/2020 00:22:22,4.385E-05,2.246321E-03,-3.595604E-05,6.453978E-04,-2.954538E-05,6.154486E-05,3.122261E-04,2.200299E-07,37.48599,18.18027, 175
02/06/2020 00:22:42,4.375E-05,2.246069E-03,-3.272849E-05,6.458962E-04,-2.722789E-05,5.154018E-05,3.068705E-04,2.203424E-07,37.49599,18.18028, 175
02/06/2020 00:23:02,0.0000436,2.254719E-03,-3.086942E-05,6.501524E-04,-3.728379E-05,4.955905E-05,3.045335E-04,2.209716E-07,37.50552,18.18028, 175
02/06/2020 00:23:22,0.0000435,2.248584E-03,-3.427772E-05,6.471808E-04,-3.482523E-05,5.797883E-05,3.000867E-04,2.220402E-07,37.51274,18.18027, 175
02/06/2020 00:23:42,4.335E-05,2.252456E-03,-2.735785E-05,6.497498E-04,-3.615527E-05,4.272418E-05,3.028456E-04,2.216551E-07,37.5299,18.18028, 175
02/06/2020 00:24:02,0.0000427,2.25844E-03,-3.278013E-05,6.510919E-04,-3.428112E-05,6.10991E-05,2.983339E-04,2.220511E-07,37.54287,18.18033, 175
02/06/2020 00:24:22,4.275E-05,2.252406E-03,-3.332236E-05,6.420618E-04,-3.270926E-05,5.099537E-05,3.041927E-04,2.21615E-07,37.54259,18.18031, 175
02/06/2020 00:24:42,4.285E-05,2.246069E-03,-3.329654E-05,6.343738E-04,-3.532903E-05,4.802368E-05,3.079091E-04,2.216354E-07,37.55831,18.18039, 175
02/06/2020 00:25:02,0.0000429,2.257384E-03,-3.182478E-05,6.411416E-04,-3.482523E-05,6.555663E-05,3.06059E-04,2.218779E-07,37.57653,18.18036, 175
02/06/2020 00:25:22,0.0000423,2.252657E-03,-3.275431E-05,6.36962E-04,-3.107694E-05,6.050477E-05,3.05913E-04,2.219071E-07,37.61116,18.18046, 175
02/06/2020 00:25:42,0.0000435,2.270056E-03,-2.854558E-05,6.38515E-04,-3.333397E-05,5.535384E-05,3.028619E-04,2.216173E-07,37.56066,18.18036, 175
02/06/2020 00:26:02,4.395E-05,2.273174E-03,-3.247029E-05,6.413141E-04,-2.946477E-05,5.292697E-05,3.010766E-04,2.211921E-07,37.58027,18.18036, 175
02/06/2020 00:26:22,4.365E-05,2.259999E-03,-2.797754E-05,6.453978E-04,-2.662333E-05,4.614162E-05,3.043712E-04,2.214742E-07,37.58311,18.18039, 175
02/06/2020 00:26:42,4.415E-05,2.267291E-03,-3.247029E-05,6.556165E-04,-2.998873E-05,5.059914E-05,3.06838E-04,2.222587E-07,37.59798,18.18039, 175
02/06/2020 00:27:02,4.435E-05,2.266486E-03,-3.510397E-05,6.577254E-04,-3.831154E-05,5.797883E-05,3.092237E-04,2.225894E-07,37.61386,18.18043, 175
02/06/2020 00:27:22,0.0000449,2.286903E-03,-3.727289E-05,6.577446E-04,-3.59739E-05,6.129721E-05,3.079903E-04,2.223951E-07,37.63565,18.18051, 175
02/06/2020 00:27:42,4.505E-05,2.282176E-03,-3.358057E-05,6.533925E-04,-3.686059E-05,6.010854E-05,3.079254E-04,2.225209E-07,37.65607,18.18052, 175
02/06/2020 00:28:02,0.0000445,2.279108E-03,-2.833902E-05,6.469124E-04,-3.111724E-05,4.985622E-05,3.074223E-04,2.227051E-07,37.69255,18.18054, 175
02/06/2020 00:28:22,4.395E-05,2.266034E-03,-3.685976E-05,6.454553E-04,-3.718302E-05,5.074773E-05,3.105707E-04,2.224139E-07,37.70146,18.18052, 175
02/06/2020 00:28:42,0.0000436,2.283534E-03,-2.947512E-05,6.470274E-04,-3.325337E-05,6.639861E-05,3.053125E-04,2.216977E-07,37.64482,18.18059, 175
02/06/2020 00:29:02,0.0000436,2.27247E-03,-2.521475E-05,6.457045E-04,-3.226591E-05,4.193173E-05,3.06416E-04,2.215845E-07,37.66489,18.18052, 175
02/06/2020 00:29:22,0.000043,2.276393E-03,-2.629921E-05,6.406814E-04,-2.960584E-05,4.698359E-05,3.077793E-04,2.210499E-07,37.67615,18.18062, 175
02/06/2020 00:29:42,0.0000429,2.285796E-03,-3.050794E-05,6.453978E-04,-3.349519E-05,5.203546E-05,3.042413E-04,2.213594E-07,37.68625,18.18062, 175
02/06/2020 00:30:02,0.0000431,2.274532E-03,-3.275431E-05,6.543511E-04,-3.063359E-05,5.243169E-05,3.070165E-04,2.210901E-07,37.68325,18.18057, 175
02/06/2020 00:30:22,0.0000436,2.276242E-03,-2.864887E-05,6.608121E-04,-2.97066E-05,4.534917E-05,3.062862E-04,2.208301E-07,37.69022,18.18057, 175
02/06/2020 00:30:42,0.0000434,2.285746E-03,-2.647995E-05,6.566901E-04,-3.405945E-05,3.99506E-05,3.014337E-04,2.200138E-07,37.6945,18.18063, 175
02/06/2020 00:31:02,4.455E-05,2.294194E-03,-2.41303E-05,6.505167E-04,-3.220546E-05,6.753776E-05,3.07828E-04,2.197788E-07,37.69894,18.18057, 175
02/06/2020 00:31:22,0.0000447,2.288914E-03,-2.67898E-05,6.453978E-04,-2.902143E-05,7.150001E-05,3.09386E-04,2.19425E-07,37.70262,18.18056, 175
02/06/2020 00:31:42,0.0000445,2.281622E-03,-2.327822E-05,6.501141E-04,-2.978721E-05,7.229245E-05,3.112524E-04,2.199811E-07,37.71015,18.18056, 175
02/06/2020 00:32:02,4.565E-05,2.285092E-03,-2.493073E-05,6.490404E-04,-3.305185E-05,6.68939E-05,3.147092E-04,2.203691E-07,37.69993,18.18056, 175
02/06/2020 00:32:22,4.725E-05,2.278404E-03,-2.322658E-05,6.568243E-04,-2.523284E-05,6.946935E-05,3.14271E-04,2.209464E-07,37.68915,18.18046, 175
02/06/2020 00:32:42,0.0000458,2.279309E-03,-2.505983E-05,6.531816E-04,-2.688531E-05,5.26298E-05,3.077793E-04,2.218156E-07,37.68348,18.18054, 175
02/06/2020 00:33:02,4.595E-05,2.294798E-03,-2.841648E-05,6.495197E-04,-3.313246E-05,5.168876E-05,3.087855E-04,2.21646E-07,37.67892,18.18051, 175
02/06/2020 00:33:22,0.0000447,2.283433E-03,-2.418193E-05,6.446692E-04,-2.87796E-05,6.580428E-05,3.105058E-04,2.216436E-07,37.67401,18.18045, 175
02/06/2020 00:33:42,4.515E-05,2.295954E-03,-2.353642E-05,6.426178E-04,-2.881991E-05,6.669578E-05,3.116256E-04,2.212573E-07,37.67686,18.18049, 175
02/06/2020 00:34:02,0.0000441,2.27418E-03,-2.753859E-05,6.460113E-04,-2.773169E-05,5.659205E-05,3.09808E-04,2.209884E-07,37.66307,18.18051, 175
02/06/2020 00:34:22,4.475E-05,2.28293E-03,-2.123841E-05,6.55789E-04,-3.115755E-05,6.37241E-05,3.115769E-04,2.202544E-07,37.65984,18.18048, 175
02/06/2020 00:34:42,4.495E-05,2.281522E-03,-2.397537E-05,6.473917E-04,-2.704652E-05,6.104958E-05,3.067893E-04,2.199313E-07,37.64649,18.1804, 175
02/06/2020 00:35:02,0.000045,2.273778E-03,-3.164403E-05,6.495964E-04,-3.077466E-05,7.610612E-05,3.105058E-04,2.197191E-07,37.64186,18.18039, 175
02/06/2020 00:35:22,0.0000445,2.266939E-03,-2.57828E-05,6.430204E-04,-3.145983E-05,6.332787E-05,3.08607E-04,2.200602E-07,37.63446,18.18034, 175
02/06/2020 00:35:42,0.0000449,2.269604E-03,-1.886293E-05,6.461838E-04,-2.29355E-05,6.312976E-05,3.051177E-04,2.205243E-07,37.6186,18.18031, 175
02/06/2020 00:36:02,4.425E-05,2.265229E-03,-2.635085E-05,6.457237E-04,-3.103664E-05,7.244104E-05,3.120963E-04,2.207981E-07,37.61578,18.18034, 175
02/06/2020 00:36:22,4.355E-05,2.273023E-03,-2.524057E-05,6.452827E-04,-2.557542E-05,6.575474E-05,3.085745E-04,2.210371E-07,37.53429,18.1803, 175
02/06/2020 00:36:42,4.435E-05,2.279158E-03,-2.21163E-05,6.433272E-04,-2.392295E-05,5.589865E-05,3.06627E-04,2.208368E-07,37.6969,18.1803, 175
02/06/2020 00:37:02,4.455E-05,2.263318E-03,-2.529221E-05,6.472958E-04,-2.442675E-05,5.198593E-05,3.0528E-04,2.208323E-07,37.65326,18.18039, 175
02/06/2020 00:37:22,4.355E-05,2.262916E-03,-2.358807E-05,6.463947E-04,-3.204424E-05,6.545758E-05,3.023587E-04,2.211355E-07,37.62583,18.18036, 175
02/06/2020 00:37:42,0.0000441,2.268296E-03,-2.653159E-05,6.39972E-04,-2.468873E-05,5.178782E-05,3.094509E-04,2.209663E-07,37.61348,18.18043, 175
02/06/2020 00:38:02,4.355E-05,2.268196E-03,-2.908781E-05,6.528365E-04,-3.692105E-05,6.837973E-05,3.084285E-04,2.209166E-07,37.60443,18.18036, 175
02/06/2020 00:38:22,0.0000437,2.269805E-03,-2.924274E-05,6.417742E-04,-2.611953E-05,6.981605E-05,3.07406E-04,2.198999E-07,37.59908,18.18033, 175
02/06/2020 00:38:42,4.335E-05,2.262916E-03,-2.637667E-05,6.436531E-04,-3.147998E-05,7.278773E-05,3.070977E-04,2.181088E-07,37.59066,18.18045, 175
02/06/2020 00:39:02,4.385E-05,2.252959E-03,-3.846062E-05,6.429054E-04,-2.769139E-05,7.209434E-05,3.088504E-04,2.197653E-07,37.575,18.18037, 175
02/06/2020 00:39:22,0.0000439,2.261508E-03,-2.986243E-05,6.381507E-04,-3.391839E-05,5.683969E-05,3.065784E-04,2.205812E-07,37.56638,18.1803, 175
02/06/2020 00:39:42,4.405E-05,2.248886E-03,-2.983661E-05,6.455128E-04,-2.994842E-05,6.580428E-05,3.040303E-04,2.209444E-07,37.55951,18.18024, 175
02/06/2020 00:40:02,4.415E-05,2.249087E-03,-2.795172E-05,6.489638E-04,-3.200394E-05,5.688921E-05,3.022776E-04,2.207021E-07,37.55545,18.18033, 175
02/06/2020 00:40:22,0.0000448,2.251752E-03,-2.681562E-05,6.510535E-04,-2.809443E-05,6.68939E-05,3.094834E-04,2.208746E-07,37.53504,18.18028, 175
02/06/2020 00:40:42,0.0000443,2.250243E-03,-1.914695E-05,6.453786E-04,-2.851762E-05,6.580428E-05,3.008981E-04,2.207364E-07,37.49238,18.18027, 175
02/06/2020 00:41:02,4.355E-05,2.263117E-03,-2.947512E-05,6.386875E-04,-3.115755E-05,7.57099E-05,3.084772E-04,2.205215E-07,37.65545,18.18027, 175
02/06/2020 00:41:22,0.0000439,2.258239E-03,-3.420026E-05,6.354666E-04,-3.470432E-05,6.669578E-05,3.051664E-04,2.207145E-07,37.55808,18.18025, 175
02/06/2020 00:41:42,4.425E-05,2.262513E-03,-3.019809E-05,6.392244E-04,-2.954538E-05,7.917686E-05,3.027482E-04,2.208976E-07,37.53205,18.18025, 175
02/06/2020 00:42:02,0.0000448,2.25497E-03,-3.365803E-05,6.362143E-04,-3.212485E-05,6.525947E-05,3.039979E-04,2.20489E-07,37.51426,18.18021, 175
02/06/2020 00:42:22,0.0000455,2.245567E-03,-2.947512E-05,6.363869E-04,-3.40393E-05,6.10991E-05,3.024561E-04,2.205208E-07,37.4989,18.18019, 175
02/06/2020 00:42:42,4.465E-05,0.0022427,-3.613679E-05,6.323799E-04,-2.996858E-05,5.981137E-05,3.0528E-04,2.203415E-07,37.49208,18.18024, 175
02/06/2020 00:43:02,0.0000436,2.247427E-03,-2.539549E-05,6.336453E-04,-2.321763E-05,6.446701E-05,3.026346E-04,2.201279E-07,37.47711,18.18018, 175
02/06/2020 00:43:22,4.415E-05,2.240035E-03,-2.606683E-05,6.316514E-04,-3.16412E-05,6.169344E-05,2.995348E-04,2.198898E-07,37.46854,18.18021, 175
