Time;Ed0Gnd;Ed0305;Ed0313;Ed0320;Ed0340;Ed0380;Ed0395;Ed0PAR
9,82833;0,0000436;4,41E-05;0,000223771;0,00081088;0,005575262;0,007992259;0,008291113;1,51E-05
9,83389;0,0000439;4,47E-05;0,000230327;0,000841195;0,005763819;0,008261095;0,008567218;1,56E-05
9,83944;0,0000438;4,54E-05;0,000237246;0,000872415;0,005961078;0,008539424;0,008852052;1,62E-05
9,845;0,0000432;4,61E-05;0,000244398;0,000905198;0,006160697;0,008819482;0,00914086;1,67E-05
9,85056;0,00004395;4,69E-05;0,000251736;0,000939121;0,006366281;0,009105368;0,009433507;1,73E-05
9,85611;0,00004315;4,75E-05;0,000259105;0,000974337;0,006573372;0,009394287;0,00973102;1,78E-05
9,86167;0,00004315;4,83E-05;0,000266502;0,001008194;0,006780825;0,009686977;0,01002977;1,84E-05
9,86722;0,00004405;4,89E-05;0,000274043;0,001044807;0,006989569;0,009982262;0,01033188;1,89E-05
9,87278;0,00004335;4,95E-05;0,000281706;0,001081731;0,007199919;0,01028261;0,0106415;1,94E-05
9,87833;0,00004295;5,02E-05;0,000289472;0,001119469;0,007415943;0,01058668;0,01095457;1,99E-05
9,88389;0,0000434;5,11E-05;0,000297487;0,001158781;0,007637733;0,01089375;0,01126686;2,04E-05
9,88944;0,00004345;5,16E-05;0,000306089;0,001200459;0,00785986;0,01120836;0,01159022;2,09E-05
9,895;0,00004325;0,000052435;0,000314754;0,001242367;0,008087485;0,01153111;0,01192031;2,13E-05
9,90056;0,00004365;5,32E-05;0,000323473;0,001285266;0,008318437;0,0118522;0,01225021;2,17E-05
9,90611;0,00004405;5,39E-05;0,000332589;0,001328936;0,00854786;0,01217977;0,01258737;2,21E-05
9,91167;0,00004485;5,45E-05;0,000341538;0,001373373;0,008783857;0,012508;0,01292354;2,23E-05
9,91722;0,00004495;5,53E-05;0,00035091;0,00141891;0,009014502;0,01283387;0,0132592;2,26E-05
9,92278;0,00004365;5,60E-05;0,00036043;0,001464528;0,009250321;0,013165;0,01360317;2,29E-05
9,92833;0,00004405;5,67E-05;0,000370496;0,00151383;0,00949309;0,01350072;0,01394897;2,33E-05
9,93389;0,00004405;5,75E-05;0,00038044;0,001563597;0,009736673;0,01384346;0,01430075;2,38E-05
9,93944;0,00004455;5,83E-05;0,000390718;0,001614383;0,00998151;0,01419065;0,01466271;2,44E-05
9,945;0,00004485;5,90E-05;0,000401369;0,001666169;0,01022271;0,01454201;0,01502082;2,51E-05
9,95056;0,0000447;5,97E-05;0,000412135;0,001719528;0,01046774;0,01489184;0,0153858;2,57E-05
9,95611;0,00004485;6,05E-05;0,000423216;0,001772625;0,0107229;0,01525473;0,01575923;2,64E-05
9,96167;0,0000444;6,13E-05;0,00043453;0,00182862;0,01097954;0,01561762;0,01613825;2,71E-05
9,96722;0,0000434;6,21E-05;0,000446213;0,001885455;0,01124077;0,0159885;0,01652293;2,78E-05
9,97278;0,00004465;6,28E-05;0,000458438;0,001944887;0,0115012;0,01636319;0,01691408;2,84E-05
9,97833;0,00004405;6,37E-05;0,000470952;0,002004096;0,01176885;0,01674405;0,0173072;2,91E-05
9,98389;0,000043;6,45E-05;0,000483057;0,002064444;0,01203568;0,01712328;0,01770588;2,99E-05
9,98944;0,00004305;6,52E-05;0,000496176;0,002125552;0,01230191;0,01751025;0,01810638;3,06E-05
9,995;0,0000432;6,60E-05;0,000509813;0,002185551;0,01257527;0,01790395;0,01851159;3,13E-05
10,00056;0,00004295;6,69E-05;0,000523503;0,002250088;0,01285297;0,01829892;0,01892181;3,21E-05
10,00611;0,000043;6,78E-05;0,000537529;0,002317716;0,01313395;0,01869253;0,01933301;3,28E-05
10,01167;0,0000432;6,85E-05;0,000552199;0,00238555;0,01342447;0,01909099;0,01974709;3,36E-05
10,01722;0,0000432;6,94E-05;0,000566436;0,002454097;0,01370011;0,01947032;0,02014821;3,44E-05
10,02278;0,00004325;7,03E-05;0,000581721;0,002522007;0,01397123;0,01985949;0,02055075;3,52E-05
10,02833;0,0000435;7,11E-05;0,00059725;0,002594839;0,01425054;0,02025077;0,0209602;3,60E-05
10,03389;0,0000429;7,19E-05;0,000612921;0,002662244;0,01452206;0,02064067;0,02136343;3,68E-05
10,03944;0,00004335;7,29E-05;0,000628775;0,002736836;0,01479514;0,02102871;0,02176732;3,77E-05
10,045;4,41E-05;7,37E-05;0,000645569;0,002810702;0,01507102;0,02142124;0,02217518;3,85E-05
10,05056;0,00004355;7,45E-05;0,000662694;0,002882994;0,01535649;0,02180298;0,02256767;3,92E-05
10,05611;0,00004305;7,56E-05;0,000681109;0,002962182;0,01565048;0,02220783;0,02297964;4,01E-05
10,06167;0,00004315;7,64E-05;0,000699298;0,003044255;0,01594923;0,02261278;0,0234004;4,09E-05
10,06722;0,000043;7,72E-05;0,000717407;0,003124518;0,01623556;0,02302256;0,02382235;4,19E-05
