Software Version: bsiPRRinterface version 2.1.20, Measured Parameters recorded in: Calibrated Units, Ignoring data after range change in averages
Label,Ed0Gnd,Ed0305,Ed0313,Ed0320,Ed0340,Ed0380,Ed0395,Ed0PAR,Ed0Temp,Ed0Vin, # averaged, UVINDEX, , , 
ChannelType,0,2,4,6,8,9,10,18,22,27
Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Units,V,µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µE/(cm²sec),°C,V
Equation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Comment,Lamp V-032(3/3/15),solar calibration completed 2/26/16,solar calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,n/a,n/a
04/06/2020 00:00:22,4.334375E-05,2.091838E-03,-2.143852E-05,7.4475E-04,-2.060037E-05,7.169193E-05,3.997302E-04,4.746824E-07,37.63923,18.17996, 175
04/06/2020 00:00:42,4.435E-05,2.090078E-03,-1.708132E-05,7.46013E-04,-1.48142E-05,9.358954E-05,4.011948E-04,4.736348E-07,37.6184,18.17992, 175
04/06/2020 00:01:02,4.325E-05,2.069963E-03,-2.245197E-05,7.244443E-04,-2.263322E-05,7.273821E-05,3.93486E-04,4.710431E-07,37.59542,18.1799, 175
04/06/2020 00:01:22,4.355E-05,2.084546E-03,-1.808832E-05,7.342796E-04,-1.66682E-05,7.575942E-05,3.907919E-04,4.683887E-07,37.55198,18.17986, 175
04/06/2020 00:01:42,0.0000444,2.085552E-03,-2.743531E-05,7.255755E-04,-2.176667E-05,8.640796E-05,4.040999E-04,4.64277E-07,37.65311,18.1799, 175
04/06/2020 00:02:02,0.0000441,2.089625E-03,-2.092856E-05,7.265724E-04,-2.400356E-05,8.759664E-05,4.001724E-04,4.588713E-07,37.62322,18.17992, 175
04/06/2020 00:02:22,4.315E-05,2.067348E-03,-2.583444E-05,7.240417E-04,-2.319747E-05,8.016743E-05,3.943786E-04,4.556082E-07,37.60572,18.17986, 175
04/06/2020 00:02:42,4.375E-05,2.076651E-03,-2.632503E-05,7.308862E-04,-2.15047E-05,7.942451E-05,3.942325E-04,4.524966E-07,37.5969,18.17989, 175
04/06/2020 00:03:02,4.465E-05,2.084999E-03,-2.849395E-05,7.294866E-04,-1.741382E-05,7.779008E-05,3.939566E-04,4.504388E-07,37.58334,18.1799, 175
04/06/2020 00:03:22,4.415E-05,2.074539E-03,-2.524057E-05,7.303302E-04,-2.624044E-05,7.100472E-05,3.923175E-04,4.4849E-07,37.57134,18.17989, 175
04/06/2020 00:03:42,4.515E-05,2.069259E-03,-1.775265E-05,7.309245E-04,-2.090014E-05,7.897875E-05,3.91717E-04,4.470139E-07,37.55189,18.17986, 175
04/06/2020 00:04:02,4.655E-05,2.077908E-03,-2.268435E-05,7.260931E-04,-1.562029E-05,9.007304E-05,3.917007E-04,4.454746E-07,37.52842,18.17979, 175
04/06/2020 00:04:22,0.0000474,2.074187E-03,-2.258107E-05,7.338579E-04,-1.938873E-05,8.764617E-05,3.892339E-04,4.436854E-07,37.54297,18.17986, 175
04/06/2020 00:04:42,0.0000465,2.066946E-03,-1.393123E-05,7.275694E-04,-1.491496E-05,7.798819E-05,3.923012E-04,4.433913E-07,37.60086,18.17984, 175
04/06/2020 00:05:02,4.521053E-05,2.067237E-03,-2.083887E-05,7.273393E-04,-1.735018E-05,8.808671E-05,4.040256E-04,4.445341E-07,37.5297,18.17979, 175
04/06/2020 00:05:22,4.475E-05,2.071572E-03,-2.650577E-05,7.253071E-04,-1.612409E-05,9.160842E-05,3.975108E-04,4.539707E-07,37.5208,18.1797, 175
04/06/2020 00:05:42,0.0000443,2.058497E-03,-1.746863E-05,7.278953E-04,-1.491496E-05,9.65117E-05,4.032722E-04,4.424286E-07,37.49966,18.17974, 175
04/06/2020 00:06:02,0.0000447,2.055681E-03,-1.682312E-05,7.272626E-04,-1.019938E-05,7.526414E-05,4.036455E-04,4.456063E-07,37.49223,18.17975, 175
04/06/2020 00:06:22,0.0000432,2.043512E-03,-2.345896E-05,7.263232E-04,-1.366554E-05,9.304473E-05,4.028989E-04,4.612097E-07,37.49403,18.17975, 175
04/06/2020 00:06:42,0.0000439,2.040746E-03,-2.046379E-05,7.300234E-04,-1.362523E-05,1.066154E-04,4.11468E-04,4.913534E-07,37.47192,18.17967, 175
04/06/2020 00:07:02,0.0000434,2.039137E-03,-2.586026E-05,7.299851E-04,-1.207352E-05,1.01415E-04,4.097639E-04,4.778069E-07,37.46872,18.1797, 175
04/06/2020 00:07:22,4.325E-05,2.049043E-03,-2.038633E-05,7.338386E-04,-3.065536E-06,1.187498E-04,4.193878E-04,5.248704E-07,37.44594,18.17969, 175
04/06/2020 00:07:42,0.0000434,2.044367E-03,-1.837234E-05,7.292757E-04,-1.795954E-06,1.047829E-04,4.241268E-04,5.477494E-07,37.45509,18.17966, 175
04/06/2020 00:08:02,4.285E-05,2.049949E-03,-1.573866E-05,7.35104E-04,-1.130935E-06,9.596689E-05,4.207836E-04,5.237848E-07,37.46858,18.17963, 175
04/06/2020 00:08:22,0.0000432,2.06071E-03,-1.943098E-05,7.216836E-04,-5.121049E-06,1.065659E-04,4.207998E-04,5.111759E-07,37.43848,18.17967, 175
04/06/2020 00:08:42,0.0000432,2.052312E-03,-2.658323E-05,7.29199E-04,-1.054196E-05,9.294567E-05,4.107701E-04,4.650376E-07,37.42733,18.17961, 175
